datetime,datetime_nano,SHFE.cu2606.open,SHFE.cu2606.high,SHFE.cu2606.low,SHFE.cu2606.close,SHFE.cu2606.volume,SHFE.cu2606.open_oi,SHFE.cu2606.close_oi
2026-01-06 22:19:00.000000000,1767709140000000000,104760,104760,104640,104670,17,29123,29122
2026-01-06 22:20:00.000000000,1767709200000000000,104670,104670,104400,104560,44,29122,29109
2026-01-06 22:21:00.000000000,1767709260000000000,104560,104560,104490,104540,44,29109,29106
2026-01-06 22:22:00.000000000,1767709320000000000,104540,104760,104540,104680,25,29106,29101
2026-01-06 22:23:00.000000000,1767709380000000000,104680,104680,104560,104560,27,29101,29108
2026-01-06 22:24:00.000000000,1767709440000000000,104560,104570,104510,104530,26,29108,29107
2026-01-06 22:25:00.000000000,1767709500000000000,104530,104550,104450,104470,36,29107,29103
2026-01-06 22:26:00.000000000,1767709560000000000,104470,104520,104400,104520,33,29103,29108
2026-01-06 22:27:00.000000000,1767709620000000000,104520,104590,104480,104480,24,29108,29100
2026-01-06 22:28:00.000000000,1767709680000000000,104480,104650,104480,104600,20,29100,29100
2026-01-06 22:29:00.000000000,1767709740000000000,104600,104610,104540,104540,6,29100,29101
2026-01-06 22:30:00.000000000,1767709800000000000,104540,104630,104540,104630,6,29101,29101
2026-01-06 22:31:00.000000000,1767709860000000000,104630,104670,104630,104670,7,29101,29103
2026-01-06 22:32:00.000000000,1767709920000000000,104670,104700,104670,104700,7,29103,29104
2026-01-06 22:33:00.000000000,1767709980000000000,104700,104760,104670,104710,11,29104,29103
2026-01-06 22:34:00.000000000,1767710040000000000,104710,104760,104710,104730,7,29103,29103
2026-01-06 22:35:00.000000000,1767710100000000000,104730,104810,104730,104790,32,29103,29101
2026-01-06 22:36:00.000000000,1767710160000000000,104790,104880,104790,104870,25,29101,29100
2026-01-06 22:37:00.000000000,1767710220000000000,104870,104890,104820,104820,37,29100,29119
2026-01-06 22:38:00.000000000,1767710280000000000,104820,104830,104780,104790,37,29119,29128
2026-01-06 22:39:00.000000000,1767710340000000000,104790,104790,104680,104710,12,29128,29129
2026-01-06 22:40:00.000000000,1767710400000000000,104710,104810,104710,104810,10,29129,29131
2026-01-06 22:41:00.000000000,1767710460000000000,104810,104900,104810,104890,23,29131,29125
