datetime,datetime_nano,SHFE.ni2607.open,SHFE.ni2607.high,SHFE.ni2607.low,SHFE.ni2607.close,SHFE.ni2607.volume,SHFE.ni2607.open_oi,SHFE.ni2607.close_oi
2026-01-06 14:08:00.000000000,1767679680000000000,140500,140500,140370,140370,2,2301,2300
2026-01-06 14:09:00.000000000,1767679740000000000,140370,140570,140370,140570,1,2300,2300
2026-01-06 14:10:00.000000000,1767679800000000000,140570,140570,140570,140570,0,2300,2300
2026-01-06 14:11:00.000000000,1767679860000000000,140570,140740,140540,140620,6,2300,2301
2026-01-06 14:12:00.000000000,1767679920000000000,140620,140620,140620,140620,0,2301,2301
2026-01-06 14:13:00.000000000,1767679980000000000,140620,140620,140620,140620,0,2301,2301
2026-01-06 14:14:00.000000000,1767680040000000000,140620,140620,140620,140620,0,2301,2301
2026-01-06 14:15:00.000000000,1767680100000000000,140620,140620,140620,140620,0,2301,2301
2026-01-06 14:16:00.000000000,1767680160000000000,140620,140620,140620,140620,0,2301,2301
2026-01-06 14:17:00.000000000,1767680220000000000,140620,140890,140620,140770,3,2301,2301
2026-01-06 14:18:00.000000000,1767680280000000000,140770,140810,140770,140810,1,2301,2301
2026-01-06 14:19:00.000000000,1767680340000000000,140810,140810,140810,140810,0,2301,2301
2026-01-06 14:20:00.000000000,1767680400000000000,140810,140810,140810,140810,0,2301,2301
2026-01-06 14:21:00.000000000,1767680460000000000,140810,140810,140810,140810,0,2301,2301
2026-01-06 14:22:00.000000000,1767680520000000000,140810,140810,140810,140810,0,2301,2301
2026-01-06 14:23:00.000000000,1767680580000000000,140810,140930,140810,140820,2,2301,2301
2026-01-06 14:24:00.000000000,1767680640000000000,140820,140820,140820,140820,0,2301,2301
2026-01-06 14:25:00.000000000,1767680700000000000,140820,140820,140720,140720,1,2301,2301
2026-01-06 14:26:00.000000000,1767680760000000000,140720,140720,140650,140650,2,2301,2301
2026-01-06 14:27:00.000000000,1767680820000000000,140650,140650,140650,140650,0,2301,2301
2026-01-06 14:28:00.000000000,1767680880000000000,140650,140650,140650,140650,0,2301,2301
2026-01-06 14:29:00.000000000,1767680940000000000,140650,140950,140650,140940,3,2301,2301
2026-01-06 14:30:00.000000000,1767681000000000000,140940,140940,140900,140900,1,2301,2301
2026-01-06 14:31:00.000000000,1767681060000000000,140900,140900,140810,140810,1,2301,2300
2026-01-06 14:32:00.000000000,1767681120000000000,140810,140810,140810,140810,0,2300,2300
2026-01-06 14:33:00.000000000,1767681180000000000,140810,140880,140810,140880,2,2300,2300
2026-01-06 14:34:00.000000000,1767681240000000000,140880,141150,140850,141030,27,2300,2298
